公司名称,会计年度,币种,营业收入,税前利润,已缴税款,薪酬总额,有形资产
新加坡子公司,2026,新加坡元,8500000,1200000,450000,3200000,15000000
马来西亚子公司,2026,马来西亚林吉特,4200000,380000,150000,1800000,8000000
越南子公司,2026,越南盾,12500000000,980000000,320000000,4500000000,35000000000
泰国子公司,2026,泰铢,6700000,520000,210000,2800000,12000000
印尼子公司,2026,印尼盾,45000000000,3200000000,980000000,15000000000,80000000000
菲律宾子公司,2026,菲律宾比索,5100000,410000,160000,2200000,9500000
日本子公司,2026,日元,380000000,28000000,12000000,150000000,600000000
韩国子公司,2026,韩元,9200000000,680000000,250000000,3800000000,18000000000
台湾子公司,2026,新台币,280000000,18000000,7500000,110000000,420000000
香港子公司,2026,港元,190000000,15000000,6200000,75000000,280000000
