公司全称,财年,本地货币,总收入,税前利润,已缴公司税,员工薪酬,固定资产,员工人数
新加坡子公司,2026,SGD,8500000,1200000,450000,3200000,15000000,85
马来西亚子公司,2026,MYR,4200000,380000,150000,1800000,8000000,42
越南子公司,2026,VND,12500000000,980000000,320000000,4500000000,35000000000,156
泰国子公司,2026,THB,6700000,520000,210000,2800000,12000000,63
印尼子公司,2026,IDR,45000000000,3200000000,980000000,15000000000,80000000000,210
菲律宾子公司,2026,PHP,5100000,410000,160000,2200000,9500000,48
日本子公司,2026,JPY,380000000,28000000,12000000,150000000,600000000,92
韩国子公司,2026,KRW,9200000000,680000000,250000000,3800000000,18000000000,78
台湾子公司,2026,TWD,280000000,18000000,7500000,110000000,420000000,55
香港子公司,2026,HKD,190000000,15000000,6200000,75000000,280000000,44
